Data da Venda,Nome do Produto,Categoria do Produto,Preço Unitário do Produto,Custo de Produção Unitário,Quantidade Vendida,Nome do Funcionário,Região do Fast Food,Tempo de Atendimento (min),Tipo de Atendimento,Nome do Cliente,Idade do Cliente,Gênero do Cliente,Email do Cliente,Valor Total de Venda,Custo Total de Produção,Lucro,Horário do Pedido,Estado
03/31/2023,,Hambúrguer ,14.99,7,10,David Morgan,Norte,15,Drive-Thru,Carlos Christensen,58,Feminino,julian83@harrison.com,149.9,70,79.9,Noite,New York (NY)
04/18/2022,,Bebida ,4.99,1,4,Thomas Bowen,Leste,1,Delivery,Miranda Foster,36,Masculino,rsanchez@hotmail.com,19.96,4,15.96,Noite,Florida (FL)
10/28/2021,,Bebida ,4.99,1,8,Adam Jordan,Centro,11,Delivery,Nicholas Reilly,60,Feminino,brentscott@willis.biz,39.92,8,31.92,Noite,Illinois (IL)
06/02/2023,,Hambúrguer ,14.99,7,3,Maria Oneal,Oeste,3,Drive-Thru,Lorraine Miller,50,Feminino,david23@gmail.com,44.97,21,23.97,Noite,California (CA)
03/19/2023,,Hambúrguer ,19.99,10,9,Jessica Mendez,Oeste,5,Drive-Thru,Samantha Lewis,68,Masculino,usnyder@knight.net,179.91,90,89.91,Noite,California (CA)
02/01/2022,,,9.99,3,9,Susan Roberts,Sul,10,Balcão,Kaitlin Schultz,62,Feminino,dawnlindsey@reed.com,89.91,27,62.91,Noite,Texas (TX)
05/30/2023,,,7.99,3,6,Theresa Taylor,Norte,3,Delivery,Amy Hernandez,34,Masculino,watsonjames@hotmail.com,47.94,18,29.94,Noite,New York (NY)
11/30/2022,,,7.99,3,1,Daniel Lawson,Sul,7,Delivery,Veronica Taylor,42,Feminino,loretta17@hotmail.com,7.99,3,4.99,Noite,Texas (TX)
08/07/2022,,,9.99,3,10,Anna Garcia,Sul,2,Delivery,Adam Franklin,70,Feminino,todd91@yahoo.com,99.9,30,69.9,Noite,Texas (TX)
05/01/2022,,,19.99,10,3,Thomas Fry,Oeste,9,Balcão,Brandon Bass,34,Feminino,gloria97@wong.com,59.97,30,29.97,Noite,California (CA)
12/18/2022,,,14.99,7,4,Diane Jones,Oeste,13,Delivery,Jose Mueller,23,Masculino,jamiepatel@gmail.com,59.96,28,31.96,Noite,California (CA)
10/19/2021, Refrigerante  ,,4.99,1,7,James Myers,Centro,8,Balcão,William Cox,36,Masculino,kmoore@sanders.info,34.93,7,27.93,Noite,Illinois (IL)
