Data da Venda,Nome do Produto,Categoria do Produto,Preço Unitário do Produto,Custo de Produção Unitário,Quantidade Vendida,Nome do Funcionário,Região do Fast Food,Tempo de Atendimento (min),Tipo de Atendimento,Nome do Cliente,Idade do Cliente,Gênero do Cliente,Valor Total de Venda,Custo Total de Produção,Lucro,Estado
2023-03-31,Hambúrguer Simples,Hambúrguer,14.99,7,10,David Morgan,Norte,15,Drive-Thru,Carlos Christensen,58,Feminino,149.9,70,79.9,New York (NY)
2022-04-18,Refrigerante,Bebida,4.99,1,4,Thomas Bowen,Leste,1,Delivery,Miranda Foster,36,Masculino,19.96,4,15.96,Florida (FL)
2021-10-28,Refrigerante,Bebida,4.99,1,8,Adam Jordan,Centro,11,Delivery,Nicholas Reilly,60,Feminino,39.92,8,31.92,Illinois (IL)
2023-06-02,Hambúrguer Simples,Hambúrguer,14.99,7,3,Maria Oneal,Oeste,3,Drive-Thru,Lorraine Miller,50,Feminino,44.97,21,23.97,California (CA)
2023-03-19,Hambúrguer Duplo,Hambúrguer,19.99,10,9,Jessica Mendez,Oeste,5,Drive-Thru,Samantha Lewis,68,Masculino,179.91,90,89.91,California (CA)
2022-02-01,Batata Frita,Acompanhamento,9.99,3,9,Susan Roberts,Sul,10,Balcão,Kaitlin Schultz,62,Feminino,89.91,27,62.91,Texas (TX)
2023-05-30,Sundae,Sobremesa,7.99,3,6,Theresa Taylor,Norte,3,Delivery,Amy Hernandez,34,Masculino,47.94,18,29.94,New York (NY)
2022-11-30,Sundae,Sobremesa,7.99,3,1,Daniel Lawson,Sul,7,Delivery,Veronica Taylor,42,Feminino,7.99,3,4.99,Texas (TX)
2022-08-07,Batata Frita,Acompanhamento,9.99,3,10,Anna Garcia,Sul,2,Delivery,Adam Franklin,70,Feminino,99.9,30,69.9,Texas (TX)
2022-05-01,Hambúrguer Duplo,Hambúrguer,19.99,10,3,Thomas Fry,Oeste,9,Balcão,Brandon Bass,34,Feminino,59.97,30,29.97,California (CA)
2022-12-18,Hambúrguer Simples,Hambúrguer,14.99,7,4,Diane Jones,Oeste,13,Delivery,Jose Mueller,23,Masculino,59.96,28,31.96,California (CA)
2021-10-19,Refrigerante,Bebida,4.99,1,7,James Myers,Centro,8,Balcão,William Cox,36,Masculino,34.93,7,27.93,Illinois (IL)
2022-03-02,Refrigerante,Bebida,4.99,1,2,Casey Young,Sul,11,Delivery,Patricia Wilkerson,44,Masculino,9.98,2,7.98,Texas (TX)
2022-05-18,Refrigerante,Bebida,4.99,1,2,Jennifer Wilkins,Sul,15,Delivery,Hayley Smith,20,Feminino,9.98,2,7.98,Texas (TX)
2022-01-23,Sundae,Sobremesa,7.99,3,3,Kevin Rodriguez,Leste,6,Balcão,Meghan Curry,47,Feminino,23.97,9,14.97,Florida (FL)
2021-12-24,Batata Frita,Acompanhamento,9.99,3,2,Charles Williams,Sul,10,Delivery,Kyle Lowery,64,Feminino,19.98,6,13.98,Texas (TX)
